1.0.0	ACT I
2.2.41	The thieves have bound the true men. Now could thou and I rob the thieves and go merrily to London, it would be argument for a week, laughter for a month and a good jest for ever.
2.2.42	Stand close; I hear them coming. Enter the Thieves again.
2.2.43	Come, my masters, let us share, and then to horse before day. An the Prince and Poins be not two arrant cowards, there's no equity stirring: there's no more valour in that Poins than in a wild-duck.
2.2.44	Your money!
2.2.45	Villains! [As they are sharing, the Prince and Poins set upon them; they all run away; and Falstaff, after a blow or two, runs away too, leaving the booty behind them.]
2.2.46	Got with much ease. Now merrily to horse: The thieves are all scatter'd and possess'd with fear So strongly that they dare not meet each other; Each takes his fellow for an officer. Away, good Ned. Falstaff sweats to death, And lards the lean earth as he walks along: Weren't not for laughing, I should pity him.
2.2.47	How the rogue roar'd! [Exeunt.
2.3.1	Warkworth castle.
2.3.2	Enter HOTSPUR, solus, reading a letter.
2.3.3	But, for mine own part, my lord, I could be well contented to be there, in respect of the love I bear your house. He could be contented: why is he not, then? In respect of the love he bears our house: he shows in this, he loves his own barn better than he loves our house. Let me see some more. The purpose you undertake is dangerous;— why, that's certain: 'tis dangerous to take a cold, to sleep, to drink; but I tell you, my lord fool, out of this nettle, danger, we pluck this flower, safety. The purpose you undertake is dangerous; the friends you have named uncertain; the time itself unsorted; and your whole plot too light for the counterpoise of so great an opposition. Say you so, say you so? I say unto you again, you are a shallow cowardly hind, and you lie. What a lackbrain is this! By the Lord, our plot is a good plot as ever was laid; our friends true and constant: a good plot, good friends, and full of expectation; an excellent plot, very good friends. What a frosty-spirited rogue is this! Why, my lord of York commends the plot and the general course of the action. 'Zounds, an I were now by this rascal, I could brain him with his lady's fan. Is there not my father, my uncle and myself? lord Edmund Mortimer, my lord of York and Owen Glendower? is there not besides the Douglas? have I not all their letters to meet me in arms by the ninth of the next month? and are they not some of them set forward already? What a pagan rascal is this! an infidel! Ha! you shall see now in very sincerity of fear and cold heart, will he to the king and lay open all our proceedings. O, I could divide myself and go to buffets, for moving such a dish of skim milk with so honourable an action! Hang him! let him tell the king: we are prepared. I will set forward to-night. Enter LADY PERCY. How now, Kate! I must leave you within these two hours.
2.3.4	O, my good lord, why are you thus alone? For what offence have I this fortnight been A banish'd woman from my Harry's bed? Tell me, sweet lord, what is't that takes from thee Thy stomach, pleasure and thy golden sleep? Why dost thou bend thine eyes upon the earth, And start so often when thou sit'st alone? Why hast thou lost the fresh blood in thy cheeks; And given my treasures and my rights of thee To thick-eyed musing and cursed melancholy? In thy faint slumbers I by thee have watch'd, And heard thee murmur tales of iron wars; Speak terms of manage to thy bounding steed; Cry 'Courage! to the field!' And thou hast talk'd Of sallies and retires, of trenches, tents, Of palisadoes, frontiers, parapets, Of basilisks, of cannon, culverin, Of prisoners' ransom and of soldiers slain, And all the currents of a heady fight. The spirit within thee hath been so at war And thus hast so bestirr'd thee in thy sleep, That beads of sweat have stood upon thy brow, Like bubbles in a late-disturbed stream; And in thy face strong motions have appear'd, Such as we see when men restrain their breath On some great sudden hest. O, what portents are these? Some heavy business hath my lord in hand, And I must know it, else he loves me not.
2.3.5	What, ho! Enter Servant. Is Gilliams with the packet gone?
2.3.6	He is, my lord, an hour ago.
2.3.7	Hath Butler brought those horses from the sheriff?
2.3.8	One horse, my lord, he brought even now.
2.3.9	What horse? a roan, a crop-ear, is it not?
2.3.10	It is, my lord.
2.3.11	That roan shall be my throne. Well, I will back him straight: O esperance! Bid Butler lead him forth into the park. [Ex]it Servant.
2.3.12	But hear you, my lord.
2.3.13	What say'st thou, my lady?
2.3.14	What is it carries you away?
2.3.15	Why, my horse, my love, my horse.
2.3.16	Out, you mad-headed ape. A weasel hath not such a deal of spleen As you are toss'd with. In faith, I'll know your business, Harry, that I will. I fear my brother Mortimer doth stir About his title, and hath sent for you To line his enterprize: but if you go,—
2.3.17	So far afoot, I shall be weary, love.
2.3.18	Come, come, you paraquito, answer me Directly unto this question that I ask: In faith, I'll break thy little finger, Harry, An if thou wilt not tell me all things true.
2.3.19	Away, Away, you trifler! Love! I love thee not, I care not for thee, Kate: this is no world To play with mammets and to tilt with lips: We must have bloody noses and crack'd crowns, And pass them current too. God's me, my horse! What say'st thou, Kate? what would'st thou have with me?
2.3.20	Do you not love me? do you not, indeed? Well, do not then; for since you love me not, I will not love myself. Do you not love me? Nay, tell me if you speak in jest or no.
2.3.21	Come, wilt thou see me ride? And when I am o' horseback, I will swear I love thee infinitely. But hark you, Kate; I must not have you henceforth question me Whither I go, nor reason whereabout: Whither I must, I must; and, to conclude, This evening must I leave you, gentle Kate. I know you wise, but yet no farther wise Than Harry Percy's wife: constant you are, But yet a woman: and for secrecy, No lady closer; for I well believe Thou wilt not utter what thou dost not know; And so far will I trust thee, gentle Kate.
2.3.22	How! so far?
2.3.23	Not an inch further. But hark you, Kate: Whither I go, thither shall you go too; To-day will I set forth, to-morrow you. Will this content you, Kate?
2.3.24	It must of force.
2.3.25	[Exeunt.
2.4.1	The Boar's-Head Tavern, Eastcheap.
2.4.2	Enter the PRINCE, and POINS.
2.4.3	Ned, prithee, come out of that fat room, and lend me thy hand to laugh a little.
2.4.4	Where hast been, Hal?
2.4.5	With three or four loggerheads amongst three or four score hogsheads. I have sounded the very base-string of humility. Sirrah, I am sworn brother to a leash of drawers; and can call them all by their christen names, as Tom, Dick, and Francis. They take it already upon their salvation, that though I be but Prince of Wales, yet I am the king of courtesy; and tell me flatly I am no proud Jack, like Falstaff, but a Corinthian, a lad of mettle, a good boy, by the Lord, so they call me, and when I am king of England, I shall command all the good lads in Eastcheap. They call drinking deep, dyeing scarlet; and when you breathe in your watering, they cry 'hem!' and bid you play it off. To conclude, I am so good a proficient in one quarter of an hour, that I can drink with any tinker in his own language during my life. I tell thee, Ned, thou hast lost much honour, that thou wert not with me in this action. But, sweet Ned,—to sweeten which name of Ned, I give thee this pennyworth of sugar, clapped even now into my hand by an under-skinker, one that never spake other English in his life than 'Eight shillings and sixpence,' and 'You are welcome,' with this shrill addition, 'Anon, anon, sir! Score a pint of bastard in the Half-moon,' or so. But, Ned, to drive away the time till Falstaff come, I prithee, do thou stand in some by-room, while I question my puny drawer to what end he gave me the sugar; and do thou never leave calling 'Francis,' that his tale to me may be nothing but 'Anon.' Step aside, and I'll show thee a precedent.
2.4.6	Francis!
2.4.7	Thou art perfect.
2.4.8	Francis! [Exit Poins. Enter FRANCIS.
2.4.9	Anon, anon, sir. Look down into the Pomgarnet, Ralph.
2.4.10	Come hither, Francis.
2.4.11	My lord?
2.4.12	How long hast thou to serve, Francis ?
2.4.13	Forsooth, five years, and as much as to—
2.4.14	[Within] Francis!
2.4.15	Anon, anon, sir.
2.4.16	Five year! by'r lady, a long lease for the clinking of pewter. But, Francis, darest thou be so valiant as to play the coward with thy indenture and show it a fair pair of heels and run from it?
2.4.17	O Lord, sir, I'll be sworn upon all the books in England, I could find it in my heart.
2.4.18	[Within]
2.4.19	Francis!
2.4.20	Anon, sir.
2.4.21	How old art thou, Francis?
2.4.22	Let me see—about Michaelmas next I shall be—
2.4.23	[Within]
2.4.24	Francis!
2.4.25	Anon, sir. Pray stay a little, my lord.
2.4.26	Nay, but hark you, Francis: for the sugar thou gavest me, 'twas a pennyworth, was't not?
2.4.27	O Lord, I would it had been two!
2.4.28	I will give thee for it a thousand pound: ask me when thou wilt, and thou shalt have it.
2.4.29	[Within] Francis!
2.4.30	Anon, anon.
2.4.31	Anon, Francis? No, Francis; but to-morrow, Francis; or Francis, o' Thursday; or indeed, Francis, when thou wilt. But, Francis!
2.4.32	My lord?
2.4.33	Wilt thou rob this leathern jerkin, crystal-button, not-pated, agate-ring, puke-stocking, stocking, caddis-garter, smooth-tongue, Spanish-pouch—
2.4.34	O Lord, sir, what do you mean?
2.4.35	Why, then, your brown bastard is your only drink; for look you, Francis, your white canvas doublet will sully: in Barbary, sir, it cannot come to so much.
2.4.36	What, sir?
2.4.37	[Within]
2.4.38	Francis!
2.4.39	Away, you rogue! dost thou not hear them call? [Here they both call him; the drawer stands amazed, not knowing which way to go. Enter Vintner.
2.4.40	What, standest thou still, and hearest such a calling? Look to the guests within. [Ex]it Francis.] My lord, old Sir John, with half-a-dozen more, are at the door: shall I let them in?
2.4.41	Let them alone awhile, and then open the door. [Ex]it Vintner.] Poins! Re-enter POINS.
2.4.42	Anon, anon, sir.
2.4.43	Sirrah, Falstaff and the rest of the thieves are at the door: shall we be merry?
2.4.44	As merry as crickets, my lad. But hark ye; what cunning match have you made with this jest of the drawer? come, what's the issue?
2.4.45	I am now of all humours that have showed themselves humours since the old days of goodman Adam to the pupil age of this present twelve o'clock at midnight. Re-enter FRANCIS. What's o'clock, Francis?
2.4.46	Anon, anon, sir. [Exit.
2.4.47	That ever this fellow should have fewer words than a parrot, and yet the son of a woman! His industry is up-stairs and down-stairs; his eloquence the parcel of reckoning. I am not yet of Percy's mind, the Hotspur of the north; he that kills me some six or seven dozen of Scots at a breakfast, washes his hands, and says to his wife 'Fie upon this quiet life! I want work.' 'O my sweet Harry,' says she, 'how many hast thou killed to-day?' 'Give my roan horse a drench,' says he; and answers 'Some fourteen,' an hour after; 'a trifle, a trifle.' I prithee, call in Falstaff: I'll play Percy, and that damned brawn shall play Dame Mortimer his wife. 'Rivo!' says the drunkard. Call in ribs, call in tallow. Enter FALSTAFF, GADSHILL, BARDOLPH, and PETO; FRANCIS following with wine.
2.4.48	Welcome, Jack: where hast thou been?
2.4.49	A plague of all cowards, I say, and a vengeance too! marry, and amen! Give me a cup of sack, boy. Ere I lead this life long, I'll sew nether stocks and mend them and foot them too. A plague of all cowards! Give me a cup of sack, rogue. Is there no virtue extant? [He drinks.
2.4.50	Didst thou never see Titan kiss a dish of butter? pitiful-hearted Titan, that melted at the sweet tale of the sun's! if thou didst, then behold that compound.
2.4.51	You rogue, here's lime in this sack too: there is nothing but roguery to be found in villanous man: yet a coward is worse than a cup of sack with lime in it. A villanous coward! Go thy ways, old Jack; die when thou wilt, if manhood, good manhood, be not forgot upon the face of the earth, then am I a shotten herring. There live not three good men unhanged in England; and one of them is fat and grows old: God help the while! a bad world, I say. I would I were a weaver; I could sing psalms or any thing. A plague of all cowards, I say still.
2.4.52	How now, wool-sack! what mutter you?
2.4.53	A king's son. If I do not beat thee out of thy kingdom with a dagger of lath, and drive all thy subjects afore thee like a flock of wild-geese, I'll never wear hair on my face more. You Prince of Wales!
2.4.54	Why, you whoreson round man, what's the matter?
2.4.55	Are not you a coward? answer me to that: and Poins there?
2.4.56	'Zounds, ye fat paunch, an ye call me coward, by the Lord, I'll stab thee.
2.4.57	I call thee coward! I'll see thee damned ere I call thee coward: but I would give a thousand pound I could run as fast as thou canst. You are straight enough in the shoulders, you care not who sees your back: call you that backing of your friends? A plague upon such backing! give me them that will face me. Give me a cup of sack: I am a rogue, if I drunk to-day.
2.4.58	O villain! thy lips are scarce wiped since thou drunkest last.
2.4.59	All's one for that. [He drinks.] A plague of all cowards, still say I.
2.4.60	What's the matter?
2.4.61	What's the matter! there be four of us here have ta'en a thousand pound this day morning.
2.4.62	Where is it, Jack? where is it?
2.4.63	Where is it! taken from us it is: a hundred upon poor four of us.
2.4.64	What, a hundred, man?
2.4.65	I am a rogue, if I were not at half- sword with a dozen of them two hours together. I have 'scaped by miracle. I am eight times thrust through the doublet, four through the hose; my buckler cut through and through; my sword hacked like a hand-saw—ecce signum! I never dealt better since I was a man: all would not do. A plague of all cowards! Let them speak: if they speak more or less than truth, they are villains and the sons of darkness.
2.4.66	Speak, sirs; how was it?
2.4.67	We four set upon some dozen—
2.4.68	Sixteen at least, my lord.
2.4.69	And bound them.
2.4.70	No, no, they were not bound.
2.4.71	You rogue, they were bound, every man of them; or I am a Jew else, an Ebrew Jew.
2.4.72	As we were sharing, some six or seven fresh men set upon us—
2.4.73	And unbound the rest, and then come in the other.
2.4.74	What, fought you with them all?
2.4.75	All! I know not what you call all; but if I fought not with fify of them, I am a bunch of radish: if there were not two or three and fifty upon poor old Jack, then am I no two-legged creature.
2.4.76	Pray God you have not murdered some of them.
2.4.77	Nay, that's past praying for: I have peppered two of them; two I am sure I have paid, two rogues in buckram suits. I tell thee what, Hal, if I tell thee a lie, spit in my face, call me horse. Thou knowest my old ward; here I lay, and thus I bore my point. Four rogues in buckram let drive at me—
2.4.78	What, four? thou saidst but two even now.
2.4.79	Four, Hal; I told thee four.
2.4.80	Ay, ay, he said four.
2.4.81	These four came all a-front, and mainly thrust at me. I made me no more ado but took all their seven points in my target, thus.
2.4.82	Seven? why, there were but four even now.
2.4.83	In buckram?
2.4.84	Ay, four, in buckram suits.
2.4.85	Seven, by these hilts, or I am a villain else.
2.4.86	Prithee, let him alone; we shall have more anon.
2.4.87	Dost thou hear me, Hal?
2.4.88	Ay, and mark thee too, Jack.
2.4.89	Do so, for it is worth the listening to. These nine in buckram that I told thee of—
2.4.90	So, two more already.
2.4.91	Their points being broken,—
2.4.92	Down fell their hose.
2.4.93	Began to give me ground: but I followed me close, came in foot and hand; and with a thought seven of the eleven I paid.
2.4.94	O monstrously eleven buckram men grown out of two!
2.4.95	But, as the devil would have it, three misbegotten knaves in Kendal green came at my back and let drive at me; for it was so dark, Hal, that thou couldst not see thy hand.
2.4.96	These lies are like their father that begets them; gross as a mountain, open, palpable. Why, thou clay-brained guts, thou knotty-pated fool, thou whoreson, obscene, greasy tallow-catch,—
2.4.97	What, art thou mad? art thou mad? is not the truth the truth?
2.4.98	Why, how couldst thou know these mnen in Kendal green, when it was so dark thou couldst not see thy hand? come, tell us your reason: what sayest thou to this?
2.4.99	Come, your reason, Jack, your reason.
2.4.100	What, upon compulsion? 'Zounds, an I were at the strappado, or all the racks in the world, I would not tell you on compulsion. Give you a reason on compulsion if reasons were as plentiful as blackberries, I would give no man a reason upon compulsion, I.
2.4.101	I 'll be no longer guilty of this sin; this sanguine coward, this bed-presser, this horseback-breaker, this huge hill of flesh,—
2.4.102	'Sblood, you starveling, you elf-skin, you dried neat's tongue, you bull's pizzle, you stock-fish! O for breath to utter what is like thee! you tailor's-yard, you sheath, you bowcase, you vile standing-tuck,—
2.4.103	Well, breathe awhile, and then to it again: and when thou hast tired thyself in base comparisons, hear me speak but this.
2.4.104	Mark, Jack.
2.4.105	We two saw you four set on four and bound them, and were masters of their wealth. Mark now, how a plain tale shall put you down. Then did we two set on you four; and, with a word, out-faced you from your prize, and have it; yea, and can show it you here in the house: and, Falstaff, you carried your guts away as nimbly, with as quick dexterity, and roared for mercy and still run and roared, as ever I heard bull-calf. What a slave art thou, to hack thy sword as thou hast done, and then say it was in fight! What trick, what device, what starting-hole, canst thou now find out to hide thee from this open and apparent shame?
2.4.106	Come, let's hear, Jack; what trick hast thou now?
2.4.107	By the Lord, I knew ye as well as he that made ye. Why, hear you, my masters: was it for me to kill the heir-apparent? should I turn upon the true prince? why, thou knowest I am as valiant as Hercules: but beware instinct; the lion will not touch the true prince. Instinct is a great matter; I was now a coward on instinct. I shall think the better of myself and thee during my life; I for a valiant lion, and thou for a true prince But, by the Lord, lads, I am glad you have the money. Hostess, clap to the doors: watch to-night, pray to-morrow. Gallants, lads, boys, hearts of gold, all the titles Qf good fellowship come to you I What, shall we be merry? shall we have a play extempore?
2.4.108	Content; and the argument shall be thy running away.
2.4.109	Ah, no more of that, Hal, an thou lovest me! Enter Hostess.
2.4.110	O Jesu, my lord the prince!
2.4.111	How now, my lady the hostess what sayest thou to me?
2.4.112	Marry, my lord, there is a nobleman of the court at door would speak with you: he says he comes from your father.
2.4.113	Give him as much as will make him a royal man, and send him back again to my mother.
2.4.114	What manner of man is he?
2.4.115	An old man.
2.4.116	What doth gravity out of his bed at midnight? Shall I give him his answer?
2.4.117	Prithee, do, Jack.
2.4.118	'Faith, and I'll send him packing. [Ex]it.
2.4.119	Now, sirs: by'r lady, you fought fair; so did you, Peto; so did you, Bardolph: you are lions too, you ran away upon instinct, you will not touch the true prince; no, fie!
2.4.120	'Faith, I ran when I saw others run.
2.4.121	'Faith, tell me now in earnest, how came Falstaff's sword so hacked?
2.4.122	Why, he hacked it with his dagger, and said he would swear truth out of England but he would make you believe it was done in fight, and persuaded us to do the like.
2.4.123	Yea, and to tickle our noses with spear-grass to make them bleed, and then to beslubber our garments with it and swear it was the blood of true men. I did that I did not this seven year before, I blushed to hear his monstrous devices.
2.4.124	O villain, thou stolest a cup of sack eighteen years ago, and wert taken with the manner, and ever since thou hast blushed extempore. Thou hadst fire and sword on thy side, and yet thou rannest away: what instinct hadst thou for it?
2.4.125	My lord, do you see these meteors? do you behold these exhalations?
2.4.126	I do.
2.4.127	What think you they portend?
2.4.128	Hot livers and cold purses.
2.4.129	Choler, my lord, if rightly taken.
2.4.130	No, if rightly taken, halter. Re-enter FALSTAFF. Here comes lean Jack, here comes bare-bone. How now, my sweet creature of bombast! How long is't ago, Jack, since thou sawest thine own knee?
2.4.131	My own knee! when I was about thy years, Hal, I was not an eagle's talon in the waist; I could have crept into any alderman's thumb-ring: a plague of sighing and grief! it blows a man up like a bladder. There's villanous news abroad: here was Sir John Bracy from your father; you must to the court in the morning. That same mad fellow of the north, Percy, and he of Wales, that gave Amamon the bastinado and made Lucifer cuckold and swore the devil his true liegeman upon the cross of a Welsh hook—what a plague call you him?
2.4.132	O, Glendower.
2.4.133	Owen, Owen, the same; and his son-in-law Mortimer; and old Northumberland, and that sprightly Scot of Scots, Douglas, that runs o' horseback up a hill perpendicular,—
2.4.134	He that rides at high speed and with his pistol kills a sparrow flying.
2.4.135	You have hit it.
2.4.136	So did he never the sparrow.
2.4.137	Well, that rascal hath good mettle in him; he will not run.
2.4.138	Why, what a rascal art thou then, to praise him so for running!
2.4.139	O' horseback, ye cuckoo; but afoot he will not budge a foot.
2.4.140	Yes, Jack, upon instinct.
2.4.141	I grant ye, upon instinct. Well, he is there too, and one Mordake, and a thousand blue-caps more: Worcester is stolen away tonight; thy father's beard is turned white with the news: you may buy land now as cheap as stinking mackerel.
2.4.142	Why, then, it is like, if there come a hot June and this civil buffeting hold, we shall buy' maidenheads as they buy hob-nails, by the hundreds.
2.4.143	By the mass, lad, thou sayest true; it is like we shall have good trading that way. But tell me, Hal, art not thou horrible afeard? thou being heir-apparent, could the world pick thee out three such enemies again as that fiend Douglas, that spirit Percy, and that devil Glendower? Art thou not horribly afraid? doth not thy blood thrill at it?
2.4.144	Not a whit, i' faith; I lack some of thy instinct.
2.4.145	Well, thou wilt be horribly chid tomorrow when thou comest to thy father: if thou love me, practise an answer.
2.4.146	Do thou stand for my father, and examine me upon the particulars of my life.
2.4.147	Shall I? content: this chair shall be my state, this dagger my sceptre, and this cushion my crown.
2.4.148	Thy state is taken for a joined-stool, thy golden sceptre for a leaden dagger, and thy precious rich crown for a pitiful bald crown!
2.4.149	Well, an the fire of grace be not quite out of thee, now shalt thou be moved. Give me a cup of sack to make my eyes look red, that it may be thought I have wept; for I must speak in passion, and I will do it in King Cambyses' vein.
2.4.150	Well, here is my leg.
2.4.151	And here is my speech. Stand aside, nobility.
2.4.152	O Jesu, this is excellent sport, i' faith!
2.4.153	Weep not, sweet queen; for trickling tears are vain.
2.4.154	O, the father, how he holds his countenance!
2.4.155	For God's sake, lords, convey my tristful queen; For tears do stop the flood-gates of her eyes.
2.4.156	O Jesu, he doth it as like one of these harlotry players as ever I see!
2.4.157	Peace, good pint-pot; peace, good tickle-brain. Harry, I do not only marvel where thou spendest thy time, but also how thou art accompanied: for though the camomile, the more it is trodden on the faster it grows, yet youth, the more it is wasted the sooner it wears. That thou art my son, I have partly thy mother's word, partly my own opinion, but chiefly a villanous trick of thine eye and a foolish hanging of thy nether lip, that doth warrant me. If then thou be son to me, here lies the point; why, being son to me, art thou so pointed at? Shall the blessed sun of heaven prove a micher and eat blackberries? a question not to be asked. Shall the son of England prove a thief and take purses? a question to be asked. There is a thing, Harry, which thou hast often heard of and it is known to many in our land by the name of pitch: this pitch, as ancient writers do report, doth defile; so doth the company thou keepest: for, Harry, now I do not speak to thee in drink but in tears, not in pleasure but in passion, not in words only, but in woes also: and yet there is a virtuous man whom I have often noted in thy company, but I know not his name.
2.4.158	What manner of man, an it like your majesty?
2.4.159	A goodly portly man, i' faith, and a corpulent; of a cheerful look, a pleasing eye and a most noble carriage; and, as I think, his age some fifty, or, by 'r lady, inclining to three score; and now I remember me, his name is Falstaff: if that man should be lewdly given, he deceiveth me; for, Harry, I see virtue in his looks. If then the tree may be known by the fruit, as the fruit by the tree, then, peremptorily I speak it, there is virtue in that Falstaff: him keep with, the rest banish. And tell me now, thou naughty varlet, tell me, where hast thou been this month?
2.4.160	Dost thou speak like a king? Do thou stand for me, and I'll play my father.
2.4.161	Depose me? if thou dost it half so gravely, so majestically, both in word and matter, hang me up by the heels for a rabbitsucker or a poulter's hare.
2.4.162	Well, here I am set.
2.4.163	And here I stand: judge, my masters.
2.4.164	Now, Harry, whence come you?
2.4.165	My noble lord, from Eastcheap.
2.4.166	The complaints I hear of thee are grievous.
2.4.167	'Sblood, my lord, they are false: nay, I'll tickle ye for a young prince, i' faith.
2.4.168	Swearest thou, ungracious boy? henceforth ne'er look on me. Thou art violently carried away from grace: there is a devil haunts thee in the likeness of an old fat man; a tun of man is thy companion. Why dost thou converse with that trunk of humours, that bolting-hutch of beastliness, that swollen parcel of dropsies, that huge bombard of sack, that stuffed cloak-bag of guts, that roasted Manning-tree ox with the pudding in his belly, that reverend vice, that grey iniquity, that father ruffian, that vanity in years? Wherein is he good, but to taste sack and drink it? wherein neat and cleanly, but to carve a capon and eat it? wherein cunning, but in craft? wherein crafty, but in villany? wherein villanous, but in all things? wherein worthy, but in nothing?
2.4.169	I would your grace would take me with you: whom means your grace?
2.4.170	That villanous abominable misleader of youth, Falstaff, that old whitebearded Satan.
2.4.171	My lord, the man I know.
2.4.172	I know thou dost.
2.4.173	But to say I know more harm in him than in myself, were to say more than I know. That he is old, the more the pity, his white hairs do witness it; but that he is, saving your reverence, a whoremaster, that I utterly deny. If sack and sugar be a fault, God help the wicked! if to be old and merry be a sin, then many an old host that I know is damned: if to be fat be to be hated, then Pharaoh's lean kine are to be loved. No, my good lord; banish Peto, banish Bardolph, banish Poins: but for sweet Jack Falstaff, kind Jack Falstaff, true Jack Falstaff, valiant Jack Falstaff, and therefore more valiant, being, as he is, old Jack Falstaff, banish not him thy Harry's company, banish not him thy Harry's company: banish plump Jack, and banish all the world.
2.4.174	I do, I will. [A knocking heard. [Exeunt Hostess, Francis, and Bardolph. Re-enter BARDOLPH, running.
2.4.175	O, my lord, my lord! the sheriff with a most monstrous watch is at the door.
2.4.176	Out, ye rogue! Play out the play: I have much to say in the behalf of that Falstaff. Re-enter the Hostess.
2.4.177	O Jesu, my lord, my lord!
2.4.178	Heigh, heigh! the devil rides upon a fiddlestick: what's the matter?
2.4.179	The sheriff and all the watch are at the door: they are come to search the house. Shall I let them in?
2.4.180	Dost thou hear, Hal? never call a true piece of gold a counterfeit: thou art essentially mad, without seeming so.
2.4.181	And thou a natural coward, without instinct.
2.4.182	I deny your major: if you will deny the sheriff, so; if not, let him enter: if I become not a cart as well as another man, a plague on my bringing up! I hope I shall as soon be strangled with a halter as another.
2.4.183	Go, hide thee behind the arras: the rest walk up above. Now, my masters, for a true face and good conscience.
2.4.184	Both which I have had: but their date is out, and therefore I'll hide me.
2.4.185	Call in the sheriff. [Ex]eunt all except the Prince and Peto. Enter Sheriff and the Carrier.
2.4.186	Now, master sheriff, what is your will with me?
2.4.187	First, pardon me, my lord. A hue and cry Hath follow'd certain men unto this house.
2.4.188	What men?
2.4.189	One of them is well known, my gracious lord, A gross fat man.
2.4.190	As fat as butter.
2.4.191	The man, I do assure you, is not here; For I myself at this time have employ'd him. And, sheriff, I will engage my word to thee That I will, by to-morrow dinner-time, Send him to answer thee, or any man, For any thing he shall be charged withal: And so let me entreat you leave the house.
2.4.192	I will, my lord. There are two gentlemen Have in this robbery lost three hundred marks.
2.4.193	It may be so: if he have robb'd these men, He shall be answerable; and so farewell.
2.4.194	Good night, my noble lord.
2.4.195	I think it is good morrow, is it not?
2.4.196	Indeed, my lord, I think it be two o'clock. [Ex]eunt Sheriff and Carrier.
2.4.197	This oily rascal is known as well as Paul's. Go, call him forth.
2.4.198	Falstaff!—Fast asleep behind the arras, and snorting like a horse.
2.4.199	Hark, how hard he fetches breath. Search his pockets. [He searcheth his pockets and findeth certain papers.] What hast thou found?
2.4.200	Nothing but papers, my lord.
2.4.201	Let's see what they be: read them.
2.4.202	[Reads]
2.4.203	Item, A capon, . . . 2s. 2d. Item, Sauce, . 4d. Item, Sack, two gallons, 5s. 8d. Item, Anchovies and sack after supper, . . . 2s. 6d. Item, Bread . . ob.
2.4.204	O monstrous! but one half-penny- worth of bread to this intolerable deal of sack! What there is else, keep close; we'll read it at more advantage: there let him sleep till day. I'll to the court in the morning. We must all to the wars, and thy place shall be honourable. I'll procure this fat rogue a charge of foot; and I know his death will be a march of twelve-score. The money shall be paid back again with advantage. Be with me betimes in the morning; and so, good morrow, Peto.
2.4.205	Good morrow, good my lord. [Ex]eunt.
3.0.0	ACT III
3.1.1	Bangor. The Archdeacon's house.
3.1.2	Enter HOTSPUR, WORCESTER, MORTIMER, and GLENDOWER.
3.1.3	These promises are fair, the parties sure, And our induction full of prosperous hope.
3.1.4	Lord Mortimer, and cousin Glendower, Will you sit down? And uncle Worcester: a plague upon it! I have forgot the map.
3.1.5	No, here it is. Sit, cousin Percy; sit, good cousin Hotspur, For by that name as oft as Lancaster Doth speak of you, his cheek looks pale and with A rising sigh he wisheth you in heaven.
3.1.6	And you in hell, as oft as he hears Owen Glendower spoke of.
3.1.7	I cannot blame him: at my nativity The front of heaven was full of fiery shapes, Of burning cressets; and at my birth The frame and huge foundation of the earth Shaked like a coward.
3.1.8	Why, so it would have done at the same season, if your mother's cat had but kittened, though yourself had never been born.
3.1.9	I say the earth did shake when I was born.
3.1.10	And I say the earth was not of my mind, If you suppose as fearing you it shook.
3.1.11	The heavens were all on fire, the earth did tremble.
3.1.12	O, then the earth shook to see the heavens on fire, And not in fear of your nativity. Diseased nature oftentimes breaks forth In strange eruptions; oft the teeming earth Is with a kind of colic pinch'd and vex'd By the imprisoning of unruly wind Within her womb; which, for enlargement striving, Shakes the old beldam earth and topples down Steeples and moss-grown towers. At your birth Our grandam earth, having this distemperature, In passion shook.
3.1.13	Cousin, of many men I do not bear these crossings. Give me leave To tell you once again that at my birth The front of heaven was full of fiery shapes, The goats ran from the mountains, and the herds Were strangely clamorous to the frighted fields. These signs have mark'd me extraordinary; And all the courses of my life do show I am not in the roll of common men. Where is he living, clipp'd in with the sea That chides the banks of England, Scotland, Wales, Which calls me pupil, or hath read to me? And bring him out that is but woman's son Can trace me in the tedious ways of art And hold me pace in deep experiments.
3.1.14	I think there's no man speaks better Welsh. I'll to dinner.
3.1.15	Peace, cousin Percy; you will make him mad.
3.1.16	I can call spirits from the vasty deep.
3.1.17	Why, so can I, or so can any man; But will they come when you do call for them?
3.1.18	Why, I can teach you, cousin, to command The devil.
3.1.19	And I can teach thee, coz, to shame the devil By telling truth: tell truth and shame the devil. If thou have power to raise him, bring him hither, And I'll be sworn I have power to shame him hence. O, while you live, tell truth and shame the devil!
3.1.20	Come, come, no more of this unprofitable chat.
3.1.21	Three times hath Henry Bolingbroke made head Against my power; thrice from the banks of Wye And sandy-bottom'd Severn have I sent him Bootless home and weather-beaten back.
3.1.22	Home without boots, and in foul weather too! How 'scapes he agues, in the devil's name?
3.1.23	Come, here's the map: shall we divide our right According to our threefold order ta'en?
